"UNITID","ROOMAMT","ROOMCAP"
194824,8770,3930
194958,6760,688
195003,7902,6527
195030,10090,1350
195049,10285,244
195128,6654,860
195164,7200,1625
195173,15300,178
195191,6000,20
195216,7880,2362
195234,6522,1327
195243,8150,681
195304,10420,1160
195438,3000,170
195474,9140,2455
195526,8868,2179
195580,2700,86
195720,8100,1495
195809,11110,3357
195988,6228,350
196006,7990,2666
196015,7850,1250
196024,7500,1840
196033,8200,1677
196042,8088,617
196051,9600,1680
196060,9010,7341
196079,10830,7391
196088,8521,7972
196097,9082,10474
196103,8850,620
196112,8278,953
196121,8594,2708
196130,8340,2627
196149,8060,3153
196158,7600,2931
196167,8370,4471
196176,9128,3198
196185,9210,3472
196194,8790,4434
196200,8150,2715
196219,9098,2794
196237,7660,875
196246,8740,2532
196255,9410,382
196291,8026,1477
196307,10400,218
196413,8470,8047
196431,3500,200
196468,13922,667
196565,8400,816
196592,7710,403
196866,7710,2043
196884,9000,69
197018,3000,450
197027,0,986
197045,5360,1034
197151,18100,1227
197197,8624,1476
197230,11100,507
197692,950,176
197708,9000,1645
197735,2100,325
197869,4878,5674
197911,4500,629
197984,5828,875
197993,4040,416
198066,8090,617
198136,6050,1802
198215,6188,851
198385,7534,1754
198419,8924,5773
198464,5520,5726
198507,4970,1583
198516,6225,4192
198543,4513,1517
198561,5260,1368
198613,5800,883
198695,7358,4656
198756,4086,1193
198808,5320,693
198862,3262,1024
198871,6368,722
198969,6402,1176
199032,4300,542
199102,4209,5064
199111,5446,1666
199120,6810,10113
199139,6560,6039
199148,5516,5666
199157,6365,2901
199184,4654,530
199193,6070,10281
199209,4950,853
199218,6790,3752
199272,7760,544
199281,5250,2331
199306,6020,728
199412,7149,1045
199458,4200,264
199582,3432,946
199607,6000,441
199643,3842,1247
199759,3728,849
199847,9560,4171
199971,2600,20
199999,6810,2442
200004,5206,4552
200022,3280,425
200059,3448,239
200086,1600,3
200156,3570,732
200192,2650,203
200217,3550,1290
200226,3515,308
200253,2849,701
200280,4500,6062
200305,2918,1125
200314,3095,259
200332,4100,5563
200341,4000,183
200484,2808,287
200554,1800,1042
200572,2420,462
200800,8026,2820
200873,1800,77
201061,6900,76
201104,5610,2016
201195,5678,1620
201371,5476,782
201441,5189,6080
201548,5544,1597
201645,9080,4419
201654,4318,2733
201690,5600,1533
201858,4190,452
201885,6856,7036
201955,6856,425
201964,4160,321
202046,8680,331
202073,9300,100
202134,8790,1011
202161,6320,128
202480,8420,6638
202514,5580,547
202523,7140,2306
202763,5090,1400
202806,3782,422
202903,1800,250
203085,5300,936
203128,5150,700
203155,5680,800
203368,6736,1884
203517,7292,6493
203535,5470,1812
203544,4264,100
203580,4508,447
203757,5540,604
203775,4840,1197
203845,6530,1243
203997,4120,90
204024,8852,8179
204176,5000,120
204185,5200,1745
204194,4748,1136
204200,4970,466
204264,6000,1032
204468,4850,645
204486,2800,1678
204501,8350,2600
204617,6240,519
204635,6060,2138
204857,7308,7197
204909,7000,1463
204936,6078,1296
204990,6000,32
205027,5480,220
205124,1000,300
205443,6602,961
205957,4980,1533
206048,6190,1002
206084,7610,3596
206349,5684,247
206437,5650,1047
206491,4000,310
206507,5090,842
206525,5394,1662
206589,5940,1981
206604,6208,2984
206613,5030,96
206622,7370,2317
206817,3600,457
206835,4324,447
206862,5500,840
206914,2222,676
206941,3990,1894
206996,4478,368
207041,3538,1320
207157,3150,125
207209,7162,1342
207236,3620,252
207254,4480,320
207263,4162,1410
207281,3180,694
207290,2300,850
207306,1880,886
207324,4400,1709
207342,5970,151
207351,2400,688
207388,5096,6390
207403,3390,1647
207458,6200,1140
207500,6378,7390
207564,4236,800
207582,3950,2581
207661,5490,825
207670,6490,170
207722,3020,536
207847,2690,725
207865,2700,1370
207971,6586,2786
208035,2300,132
208488,5040,500
208646,5800,422
208822,6650,1393
209038,4995,255
209056,7418,1417
209065,6970,1153
209241,6486,144
209506,5278,676
209542,9345,5058
209603,10063,125
209612,7120,1029
209807,6780,2200
209922,7720,1130
210146,7686,1000
210234,3926,142
210304,4140,301
210331,5852,555
210401,6800,1336
210429,8709,1374
210571,6864,1437
210669,6670,1791
210739,6400,1160
210775,6490,1022
211024,2570,540
211088,9000,1135
211158,6434,3568
211273,9760,1263
211291,8644,3391
211361,6592,2248
211431,6142,442
211440,8822,4049
211468,5583,539
211477,5346,403
211556,5842,804
211608,7148,505
211644,8590,1745
211893,8060,87
211981,6950,1024
212009,7310,2092
212054,8400,4168
212106,7194,3780
212115,8000,2579
212133,6136,949
212160,6000,1393
212197,5800,1491
212577,8550,2313
212601,7410,1443
212656,5500,942
212674,7220,2293
212805,6160,2249
212832,5520,525
212911,9790,1342
212984,7980,209
213011,6390,498
213020,8950,3904
213251,6814,1261
213303,6000,510
213321,7014,1075
213349,6484,4011
213358,7540,560
213367,7990,1962
213376,6700,314
213385,10057,2394
213446,3285,65
213507,5890,1307
213543,8290,2593
213598,5242,1876
213613,6540,1066
213631,3170,124
213668,6634,1108
213783,6600,1319
213826,8058,908
213987,6420,1900
213996,5630,2403
214041,8780,2233
214069,7800,959
214157,7840,1227
214166,5516,540
214175,6615,1922
214272,8240,792
214379,5678,578
214591,6554,1902
214689,6554,901
214698,6180,211
214704,7750,805
214713,8420,697
214731,7256,250
214768,6180,357
214777,6554,14362
214786,6180,210
214795,6180,301
214801,8420,400
214810,6766,320
214944,2700,16
214971,13500,55
215053,9150,68
215062,10600,6400
215105,10950,646
215114,5605,484
215132,10608,601
215266,5826,1007
215275,6710,674
215284,6040,1742
215293,6550,8097
215309,5800,160
215415,6270,808
215424,5611,121
215442,5420,1070
215594,6197,120
215637,7778,130
215655,6470,1898
215743,6148,1310
215770,9424,2515
215798,6559,1283
215813,7434,80
215929,8950,2649
216010,7778,1981
216038,6876,2600
216047,4635,246
216278,6900,2092
216287,8252,1548
216296,4900,640
216339,9496,5715
216348,5700,4
216357,6520,929
216366,6484,1914
216524,8750,1353
216542,4520,755
216551,9450,382
216597,7744,5400
216667,7654,1406
216694,5320,1134
216764,5626,5141
216773,6720,53
216816,3120,31
216852,7672,1726
216931,9124,1148
217013,5500,482
217059,6520,2418
217156,9420,5073
217165,9401,2974
217235,10797,3120
217305,8475,416
217402,8730,3205
217420,7016,1089
217484,8188,6281
217493,8045,1471
217518,8696,2992
217536,8760,1285
217606,6450,500
217624,2520,562
217633,5300,1472
217776,4110,570
217819,7673,3375
217873,4030,1355
217882,7214,7600
217891,3994,144
217907,4556,618
217934,3900,588
217989,2150,260
217998,5860,580
218061,5120,1539
218070,7132,2407
218229,5780,1750
218238,4564,850
218399,2809,834
218414,5800,1052
218441,4900,1530
218539,5200,1151
218645,5192,969
218654,5480,1061
218663,6700,9001
218724,5440,4768
218733,6600,1454
218742,5314,1036
218919,3676,539
218964,5526,2492
218973,7740,1482
219000,3778,1381
219046,3608,872
219082,3805,795
219091,3350,534
219259,4701,853
219277,3150,24
219295,6300,298
219347,4780,1082
219356,3974,4577
219383,3970,647
219426,4800,202
219471,4280,2226
219505,4240,85
219602,6080,1803
219639,3048,192
219709,6860,3864
219718,5814,947
219806,3734,1217
219842,510,65
219976,7520,1677
220181,6346,838
220206,3012,235
220215,4320,1226
220464,4000,13
220473,3116,776
220516,4532,443
220598,4760,1162
220604,3600,384
220613,4575,2043
220631,3650,1114
220710,5788,941
220792,7500,283
220808,5820,36
220862,6105,2675
220871,672,16
220978,5572,2872
221148,3920,698
221519,6876,1800
221661,4640,1600
221731,2230,420
221740,6163,3610
221768,2920,2255
221838,3806,3745
221847,5760,2298
221892,4450,901
221953,5642,800
221971,8000,1296
221999,11044,5892
222178,5585,2013
222822,2200,108
222831,5340,2213
222983,5900,1071
223001,3800,110
223117,4500,24
223232,7150,5103
223320,1800,180
223427,5399,1765
224004,7200,300
224147,7295,2832
224226,4015,2275
224305,4032,318
224323,6900,837
224527,4576,1212
224545,6200,294
224554,4668,2876
224712,5976,50
224891,1000,228
224961,2400,49
225070,2200,202
225247,4470,1184
225399,4800,1060
225502,4641,644
225511,5380,7200
225520,1550,252
225548,3780,698
225575,3642,422
225627,7520,1136
225876,3686,191
225885,4940,797
226091,5868,2505
226152,5668,736
226587,4286,593
226806,2200,297
226833,5250,1768
227146,3200,861
227331,5930,601
227429,3000,325
227526,5890,4270
227687,1400,388
227757,9700,3309
227845,8554,1758
227863,5710,415
227881,5392,3677
228042,4956,1108
228149,7370,1546
228246,10550,3375
228316,2600,251
228325,3570,752
228343,5990,1106
228459,7040,6854
228468,3900,378
228486,3276,215
228501,5390,779
228529,6230,3617
228653,5892,296
228769,6314,9211
228787,7442,5543
228802,6420,1724
228875,8060,4780
228884,3800,602
228981,5870,986
229018,6076,1173
229027,4290,4170
229115,4675,8193
229160,4852,545
229179,5250,2429
229267,8690,2086
229355,5940,1208
229504,1000,156
229780,3354,951
229799,6000,288
229814,4573,2202
229841,1500,127
229887,3368,784
230171,3398,720
230597,2300,761
230603,3325,903
230728,2320,3078
230764,5536,5795
230782,3411,1001
230807,5692,713
230816,8800,765
230834,6604,1160
230852,9856,1461
230913,6604,1351
230940,7285,212
230977,7466,62
231095,4500,118
231165,6604,494
231174,8532,6538
231420,6570,595
231554,3882,438
231624,7958,4728
231651,4700,1001
231712,7238,3733
231837,5281,3936
231970,7260,102
232025,6867,799
232043,6560,672
232186,7105,6220
232265,6432,2700
232308,8450,648
232423,5428,6698
232557,5800,7898
232566,7762,2624
232609,6150,1687
232681,7382,2521
232706,8650,1023
232937,7206,2961
232982,6792,4854
233277,5281,3936
233295,6800,1242
233338,6980,476
233374,6000,2880
233426,6562,1591
233611,3928,632
233842,4275,59
233897,6388,693
233921,5518,10812
234030,6555,6234
234076,6720,7191
234085,2924,1751
234137,4200,168
234155,6744,3394
234164,3976,821
234207,7820,1517
234669,7950,400
234711,2880,200
234827,6188,3955
234845,3750,49
234915,10125,104
234979,6264,126
235024,9064,324
235097,7266,2318
235103,7020,300
235149,9900,252
